@relation weka.datagenerators.classifiers.classification.RandomRBF-S_1_-n_100_-a_10_-c_2_-C_50

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {c0,c1}

@data
0.814341,0.809854,0.512249,0.419757,0.216842,0.186186,0.626497,0.166968,0.504129,0.856797,c1
0.192669,0.997833,0.514416,0.655416,0.222015,0.940929,0.845017,0.75514,0.337593,-0.070651,c1
1.009699,0.823296,0.84259,0.156677,0.62608,0.025761,0.616653,0.199607,0.895501,0.716553,c1
0.394982,0.450572,0.693571,0.775373,0.556944,0.549397,0.588843,0.836024,1.034899,0.555447,c0
0.461656,-0.218205,0.472861,0.353269,0.942354,0.773539,0.605775,0.226246,-0.165556,0.192277,c0
0.846376,0.312877,0.527302,0.631353,0.632716,0.599007,0.051462,0.35604,0.611713,-0.054753,c1
0.137762,0.486548,0.536024,0.571573,0.205502,0.611957,0.173217,0.001639,0.163987,0.177649,c1
0.150437,0.545046,0.592044,0.604286,0.242566,0.649714,0.244466,-0.058775,0.209396,0.126088,c1
0.296079,0.581593,0.186106,0.853404,0.711697,0.945089,0.446743,0.324922,0.795422,0.369829,c1
-0.095461,0.191065,0.605682,0.863042,0.486083,0.768623,0.351786,0.316372,0.483244,0.22598,c0
-0.051118,-0.702076,0.387363,0.729015,-0.349491,2.119873,0.423048,0.919255,1.100751,1.546522,c1
-0.434441,0.297022,0.521717,0.632549,0.588432,0.261921,0.727004,0.518934,0.346131,0.555559,c0
0.528506,0.941376,0.431293,-0.015291,0.314578,0.529902,0.808705,0.875094,0.537592,0.654815,c1
0.226222,0.475419,0.905204,0.263339,0.655447,0.466635,0.937651,0.514031,0.082338,0.13044,c1
0.460405,0.782746,0.743625,0.44575,0.629042,0.144432,0.369141,0.548804,0.099402,0.640974,c1
0.348131,0.859418,0.660004,-0.055376,0.338907,0.731232,0.847005,0.956115,0.448827,0.927527,c1
0.729241,0.726381,0.264488,0.67915,0.230802,0.54991,0.496762,0.251444,0.927953,0.632458,c1
0.307432,0.321224,0.343779,0.328875,0.946175,0.801333,0.472197,0.281779,-0.045736,0.641495,c0
0.361466,0.796555,0.432643,0.079096,0.390639,0.566418,0.85237,0.984464,0.407959,0.818377,c1
0.827158,0.660197,0.823818,0.214896,0.318475,0.858679,0.092866,0.911283,0.48061,0.835002,c1
0.802748,0.199886,0.130004,0.435436,0.061506,0.633731,0.854827,0.96008,0.882545,0.571654,c1
0.558321,0.378937,0.379105,0.629818,0.892956,0.309035,0.179403,0.353035,0.543335,0.091283,c1
0.085769,0.375201,0.435139,-0.103023,0.165334,-0.448608,0.44402,0.519171,1.096568,0.608521,c1
0.221198,0.453349,0.93125,0.23268,0.636428,0.480392,0.90627,0.508052,0.10389,0.151667,c1
0.735044,0.407453,0.226265,0.315825,0.985386,-0.008262,0.946046,0.957644,0.949841,0.914724,c0
0.802598,0.252885,0.653076,0.672608,0.83653,0.418902,0.092824,0.544651,0.697267,0.053889,c1
-0.107554,0.411914,0.934658,0.538866,0.550451,0.694942,0.079167,0.42436,0.853371,0.206978,c0
0.571691,0.466542,0.098128,1.016682,0.116121,1.226251,0.599484,1.214504,0.921082,0.742161,c1
0.370673,0.055441,0.74226,-0.137477,0.73008,0.664688,0.772453,0.216477,-0.035877,0.433852,c0
0.204679,0.874944,-0.000563,0.369726,0.514797,0.7422,1.044547,1.027983,-0.035672,0.679357,c1
0.304552,0.583968,0.23445,0.49286,0.280661,1.018223,0.169559,0.47139,0.015934,0.90772,c0
0.052307,0.176672,0.668318,0.669611,0.32299,0.658731,-0.047822,0.547857,0.977063,0.106841,c0
0.835283,0.375664,0.529188,0.700403,0.171307,0.666829,0.242292,1.090865,0.550082,0.608596,c0
0.611442,0.658894,0.333786,0.505093,0.445555,0.211464,0.437817,0.263606,0.435888,1.003268,c1
0.795825,0.147134,0.697366,0.639588,0.780062,0.469626,0.263076,0.574719,0.681256,-0.088188,c1
0.874623,0.071819,0.934964,0.347083,1.002323,0.151238,0.296144,0.506561,0.395082,0.73955,c0
0.386772,0.809967,0.889,1.086053,0.509606,0.020191,1.309502,0.65848,0.430611,-0.042353,c0
0.652568,0.879642,0.282117,0.260614,0.670902,0.336461,0.639062,0.291915,0.033096,0.467743,c0
0.654828,0.903487,0.242066,0.259675,0.705786,0.329837,0.620068,0.310879,0.018912,0.458404,c0
0.103122,0.619776,0.675138,0.539348,0.337211,0.947146,0.615768,0.154994,0.466025,0.642291,c0
0.735032,0.743939,0.515001,0.496983,0.480457,0.344207,0.354315,0.625793,-0.011218,0.558528,c0
0.209245,0.834763,0.395555,0.959991,0.520105,0.389854,0.26368,0.111387,0.219229,0.9847,c1
0.432385,0.982549,0.494977,0.973237,0.58019,0.164403,1.03193,1.134451,0.48686,0.423879,c0
0.488865,0.000624,0.327725,0.279948,0.833029,0.144902,0.539897,0.536876,0.337343,0.413334,c1
-0.165887,0.564747,0.093858,-0.30853,0.507176,0.935193,1.054532,0.28288,0.850683,0.283498,c0
-0.065695,0.636744,-0.275122,0.932764,0.159108,1.363163,0.977979,0.02399,0.631084,-0.259641,c0
