mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,0,0,0.1,0,0,0,0,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,1,0,0.2,1,0,1,0,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,1,0,0.3,1,0,1,0,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,1,0,0.4,1,0,1,0,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,1,0,0.5,1,0,1,0,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,2,0,0.5,2,0,1,0,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,4,0,0.6,4,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,4,0,1.1,4,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,4,0,1.2,4,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,5,0,1.2,5,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,5,0,1.3,5,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,5,0,1.4,5,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,5,0,1.5,5,0,2,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,6,0,1.6,6,0,2,2,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,10,0,2.1,10,0,6,2,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,11,0,2.2,11,0,7,2,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,11,0,2.3,11,0,7,2,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,15,0,2.4,15,0,7,6,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,19,0,2.5,19,0,10,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,B Lee,20,0,2.6,20,0,11,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,GD McGrath,20,0,3.1,20,0,11,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,GD McGrath,24,0,3.2,24,0,15,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,GD McGrath,28,0,3.3,28,0,19,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,GD McGrath,28,0,3.4,28,0,19,7,179
1,2005-06-13,The Rose Bowl,England,Australia,GO Jones,GD McGrath,28,1,3.5,28,1,19,7,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,GD McGrath,29,1,3.6,29,1,8,0,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,30,1,4.1,30,1,9,0,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,B Lee,32,1,4.1,32,1,9,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,36,1,4.2,36,1,13,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,37,1,4.3,37,1,14,1,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,B Lee,38,1,4.3,38,1,14,1,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,B Lee,39,1,4.4,38,1,14,2,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,B Lee,40,1,4.5,39,1,14,2,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,B Lee,43,1,4.6,42,1,14,5,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,MS Kasprowicz,44,1,5.1,43,1,14,6,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,44,1,5.2,42,1,14,6,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,48,1,5.3,44,1,18,6,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,49,1,5.4,45,1,19,6,179
1,2005-06-13,The Rose Bowl,England,Australia,A Flintoff,MS Kasprowicz,49,2,5.5,45,2,19,6,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,50,2,5.6,45,2,19,1,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,51,2,6.1,46,2,19,2,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,JN Gillespie,51,2,6.2,46,2,19,2,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,JN Gillespie,52,2,6.3,47,2,20,2,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,52,2,6.4,46,2,20,2,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,56,2,6.5,46,2,20,6,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,58,2,6.6,47,2,20,8,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,59,2,7.1,48,2,21,8,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,63,2,7.2,48,2,21,12,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,65,2,7.3,46,2,21,14,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,66,2,7.4,46,2,21,15,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,67,2,7.5,47,2,22,15,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,68,2,7.6,44,2,22,16,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,69,2,8.1,41,2,22,17,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,JN Gillespie,70,2,8.2,42,2,23,17,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,71,2,8.3,43,1,23,18,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,JN Gillespie,75,2,8.4,46,1,27,18,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,JN Gillespie,76,2,8.5,46,1,28,18,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,JN Gillespie,82,2,8.6,50,1,28,24,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,83,2,9.1,47,1,29,24,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,85,2,9.2,48,1,29,26,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,89,2,9.3,51,1,30,29,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,90,2,9.4,51,1,31,29,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MS Kasprowicz,91,2,9.5,51,1,31,30,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MS Kasprowicz,93,2,9.6,50,1,33,30,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MJ Clarke,94,2,10.1,50,1,33,31,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MJ Clarke,95,2,10.2,51,1,34,31,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MJ Clarke,99,2,10.3,51,1,35,34,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MJ Clarke,100,2,10.4,51,1,36,34,179
1,2005-06-13,The Rose Bowl,England,Australia,KP Pietersen,MJ Clarke,100,3,10.5,51,1,36,34,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,MJ Clarke,101,3,10.6,51,1,37,0,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,A Symonds,102,3,11.1,51,1,38,0,179
1,2005-06-13,The Rose Bowl,England,Australia,MP Vaughan,A Symonds,102,4,11.2,51,2,38,0,179
1,2005-06-13,The Rose Bowl,England,Australia,PD Collingwood,A Symonds,102,4,11.3,50,2,38,0,179
1,2005-06-13,The Rose Bowl,England,Australia,PD Collingwood,A Symonds,103,4,11.4,51,2,38,1,179
1,2005-06-13,The Rose Bowl,England,Australia,ME Trescothick,A Symonds,104,4,11.5,48,2,39,1,179
